DATE,BAMLHE00EHYIOAS
2018-05-23,3.31
2018-05-24,3.32
2018-05-25,3.42
2018-05-28,3.49
2018-05-29,3.76
2018-05-30,3.70
2018-05-31,3.70
2018-06-01,3.58
2018-06-04,3.48
2018-06-05,3.50
2018-06-06,3.48
2018-06-07,3.48
2018-06-08,3.60
2018-06-11,3.53
2018-06-12,3.50
2018-06-13,3.49
2018-06-14,3.47
2018-06-15,3.46
2018-06-18,3.46
2018-06-19,3.51
2018-06-20,3.50
2018-06-21,3.57
2018-06-22,3.57
2018-06-25,3.63
2018-06-26,3.70
2018-06-27,3.76
2018-06-28,3.84
2018-06-29,3.81
2018-06-30,3.88
2018-07-02,3.93
2018-07-03,3.88
2018-07-04,3.83
2018-07-05,3.76
2018-07-06,3.72
2018-07-09,3.67
2018-07-10,3.60
2018-07-11,3.63
2018-07-12,3.62
2018-07-13,3.60
2018-07-16,3.56
2018-07-17,3.57
2018-07-18,3.54
2018-07-19,3.55
2018-07-20,3.55
2018-07-23,3.53
2018-07-24,3.51
2018-07-25,3.51
2018-07-26,3.49
2018-07-27,3.46
2018-07-30,3.44
2018-07-31,3.51
2018-08-01,3.45
2018-08-02,3.49
2018-08-03,3.53
2018-08-06,3.53
2018-08-07,3.49
2018-08-08,3.49
2018-08-09,3.52
2018-08-10,3.59
2018-08-13,3.64
2018-08-14,3.63
2018-08-15,3.65
2018-08-16,3.64
2018-08-17,3.65
2018-08-20,3.63
2018-08-21,3.58
2018-08-22,3.55
2018-08-23,3.55
2018-08-24,3.56
2018-08-27,3.56
2018-08-28,3.51
2018-08-29,3.52
2018-08-30,3.61
2018-08-31,3.67
2018-09-03,3.69
2018-09-04,3.68
2018-09-05,3.67
2018-09-06,3.71
2018-09-07,3.68
2018-09-10,3.63
2018-09-11,3.59
2018-09-12,3.60
2018-09-13,3.58
2018-09-14,3.55
2018-09-17,3.50
2018-09-18,3.47
2018-09-19,3.45
2018-09-20,3.44
2018-09-21,3.44
2018-09-24,3.41
2018-09-25,3.40
2018-09-26,3.41
2018-09-27,3.42
2018-09-28,3.50
2018-09-30,3.55
2018-10-01,3.53
2018-10-02,3.58
2018-10-03,3.51
2018-10-04,3.47
2018-10-05,3.49
2018-10-08,3.55
2018-10-09,3.60
2018-10-10,3.61
2018-10-11,3.75
2018-10-12,3.72
2018-10-15,3.72
2018-10-16,3.73
2018-10-17,3.73
2018-10-18,3.81
2018-10-19,3.87
2018-10-22,3.84
2018-10-23,3.93
2018-10-24,3.98
2018-10-25,4.04
2018-10-26,4.14
2018-10-29,4.10
2018-10-30,4.09
2018-10-31,4.13
2018-11-01,4.10
2018-11-02,4.02
2018-11-05,4.02
2018-11-06,4.00
2018-11-07,3.93
2018-11-08,3.91
2018-11-09,3.98
2018-11-12,4.05
2018-11-13,4.11
2018-11-14,4.17
2018-11-15,4.34
2018-11-16,4.46
2018-11-19,4.56
2018-11-20,4.70
2018-11-21,4.60
2018-11-22,4.56
2018-11-23,4.60
2018-11-26,4.57
2018-11-27,4.66
2018-11-28,4.68
2018-11-29,4.72
2018-11-30,4.80
2018-12-03,4.73
2018-12-04,4.81
2018-12-05,4.88
2018-12-06,4.98
2018-12-07,4.98
2018-12-10,5.06
2018-12-11,5.08
2018-12-12,4.96
2018-12-13,4.85
2018-12-14,4.87
2018-12-17,4.87
2018-12-18,4.91
2018-12-19,4.91
2018-12-20,4.95
2018-12-21,4.98
2018-12-24,4.98
2018-12-25,.
2018-12-26,4.98
2018-12-27,5.02
2018-12-28,5.01
2018-12-31,5.06
2019-01-01,.
2019-01-02,5.13
2019-01-03,5.23
2019-01-04,5.21
2019-01-07,5.14
2019-01-08,5.02
2019-01-09,4.90
2019-01-10,4.94
2019-01-11,4.88
2019-01-14,4.89
2019-01-15,4.86
2019-01-16,4.74
2019-01-17,4.70
2019-01-18,4.62
2019-01-21,4.59
2019-01-22,4.63
2019-01-23,4.65
2019-01-24,4.66
2019-01-25,4.60
2019-01-28,4.59
2019-01-29,4.59
2019-01-30,4.56
2019-01-31,4.49
2019-02-01,4.49
2019-02-04,4.48
2019-02-05,4.40
2019-02-06,4.34
2019-02-07,4.43
2019-02-08,4.49
2019-02-11,4.48
2019-02-12,4.42
2019-02-13,4.40
2019-02-14,4.35
2019-02-15,4.34
2019-02-18,4.29
2019-02-19,4.25
2019-02-20,4.23
2019-02-21,4.18
2019-02-22,4.18
2019-02-25,4.10
2019-02-26,4.04
2019-02-27,3.97
2019-02-28,3.97
2019-03-01,3.95
2019-03-04,3.93
2019-03-05,3.91
2019-03-06,3.97
2019-03-07,4.04
2019-03-08,4.14
2019-03-11,4.10
2019-03-12,4.02
2019-03-13,3.98
2019-03-14,3.91
2019-03-15,3.90
2019-03-18,3.84
2019-03-19,3.77
2019-03-20,3.82
2019-03-21,3.87
2019-03-22,3.92
2019-03-25,3.95
2019-03-26,3.90
2019-03-27,3.93
2019-03-28,3.91
2019-03-29,3.85
2019-03-31,3.92
2019-04-01,3.82
2019-04-02,3.76
2019-04-03,3.69
2019-04-04,3.73
2019-04-05,3.69
2019-04-08,3.69
2019-04-09,3.68
2019-04-10,3.68
2019-04-11,3.65
2019-04-12,3.57
2019-04-15,3.53
2019-04-16,3.51
2019-04-17,3.48
2019-04-18,3.51
2019-04-19,.
2019-04-22,3.51
2019-04-23,3.48
2019-04-24,3.53
